country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
Europe,1809869,12341,163928,790700,855241,11325,309,0,0,0,0,0
South America,463400,2203,24208,162633,276559,10478,93,0,0,0,0,0
Asia,836530,17595,25317,482372,328841,5000,206,0,0,0,0,0
Africa,90491,411,2859,35116,52516,284,10,0,0,0,0,0
Oceania,8675,12,121,7956,598,13,1,0,0,0,0,0
0,721,0,15,651,55,4,0,0,0,0,0,0
World,4928701,40577,320964,1929951,2677786,45145,999,0,0,632,41.2,0
USA,1554951,4657,92188,359087,1103676,16868,207,12343334,0,4701,279,330774664
Russia,299941,9263,2837,76130,220974,2300,115,7352316,0,2055,19,145927292
Spain,278188,0,27709,196958,53521,1152,0,3037840,0,5950,593,46752703
Brazil,257396,2028,16941,100459,139996,8318,88,735224,0,1212,80,212380932
UK,246406,0,34796,0,0,1559,0,2682716,0,3632,513,67844241
Italy,225886,0,32007,127326,66553,749,0,3041366,0,3735,529,60471924
France,179927,0,28239,61728,89960,1998,0,1384633,0,2757,433,65256826
Germany,177482,193,8145,155700,13637,1133,22,3147771,0,2119,97,83752855
Turkey,150593,0,4171,111577,34845,903,0,1650135,0,1788,50,84230075
Iran,124603,2111,7119,97173,20311,2698,62,716176,0,1486,85,83862642
India,103292,2964,3179,40458,59655,0,23,2404267,0,75,2,1378381772
Peru,94933,0,2789,30306,61838,866,0,661132,0,2884,85,32915899
Canada,78072,0,5842,39228,33002,502,0,1323371,0,2071,155,37702769
Saudi Arabia,59854,2509,329,31634,27891,237,9,601954,0,1723,9,34747330
Belgium,55791,232,9108,14687,31996,345,28,709818,0,4816,786,11583739
Mexico,51633,2414,5332,35388,10913,378,155,177133,0,401,41,128770253
Chile,46059,0,478,20165,25416,807,0,381011,0,2412,25,19096687
Netherlands,44249,108,5715,0,0,293,21,302395,0,2583,334,17130492
Pakistan,43966,1841,939,12489,30538,111,36,400292,0,200,4,220356788
Qatar,35606,1637,15,5634,29957,172,0,166182,0,12384,5,2875047
Ecuador,33582,0,2799,3433,27350,186,0,96536,0,1907,159,17610231
Belarus,31508,936,175,10620,20713,92,4,375076,0,3334,19,9449678
Sweden,30799,422,3743,4971,22085,287,45,209900,0,3052,371,10091856
Switzerland,30618,21,1890,27600,1128,57,4,350099,0,3541,219,8647139
Portugal,29432,223,1247,6431,21754,101,16,662375,0,2885,122,10200063
Singapore,28794,451,22,10365,18407,10,0,246254,0,4926,4,5844888
Bangladesh,25121,1251,370,4993,19758,1,21,193645,0,153,2,164493041
UAE,25063,873,227,10791,14045,1,3,1600923,0,2538,23,9875965
Ireland,24200,0,1547,19470,3183,54,0,258808,0,4908,314,4931150
Poland,19080,195,941,7903,10236,160,5,653224,0,504,25,37851327
Ukraine,18876,260,548,5632,12696,245,13,239961,0,431,13,43762985
Indonesia,18496,486,1221,4467,12808,0,30,202936,0,68,4,273176544
Romania,17191,155,1126,10166,5899,195,6,322074,0,893,58,19251921
Kuwait,16764,1073,121,4681,11962,179,3,252696,0,3933,28,4262847
Israel,16650,7,277,13299,3074,51,1,512452,0,1927,32,8638917
South Africa,16433,0,286,7298,8849,119,0,475071,0,277,5,59218133
Austria,16321,52,632,14678,1011,39,3,372435,0,1813,70,9000366
Japan,16305,0,749,11564,3992,228,0,250151,0,129,6,126520115
Colombia,16295,0,592,3903,11800,136,0,201808,0,321,12,50817787
Dominican Republic,13223,498,441,6613,6169,136,7,50108,0,1220,41,10834889
Philippines,12942,224,837,2843,9262,81,6,244800,0,118,8,109403890
Egypt,12764,0,645,3440,8679,41,0,135000,0,125,6,102094004
S. Korea,11078,13,263,9938,877,55,0,765574,0,216,5,51264120
Denmark,11044,76,551,9416,1077,25,3,475096,0,1907,95,5789832
Serbia,10733,34,234,4904,5595,15,3,190683,0,1228,27,8741321
Panama,9726,120,279,6081,3366,72,4,51105,0,2258,65,4306425
Czechia,8604,18,301,5687,2616,33,4,363963,0,804,28,10706690
Argentina,8371,0,382,2625,5364,154,0,105829,0,185,8,45146322
Norway,8264,7,233,32,7999,18,0,219984,0,1526,43,5416217
Afghanistan,7653,581,178,850,6625,19,5,24697,0,197,5,38817349
Bahrain,7374,190,12,2952,4410,9,0,248205,0,4354,7,1693667
Algeria,7201,0,555,3625,3021,22,0,6500,0,165,13,43752773
Australia,7068,8,100,6413,555,11,1,1085870,0,278,4,25464216
Malaysia,6978,37,114,5646,1218,11,1,462257,0,216,4,32315733
Morocco,6972,20,193,3890,2889,1,1,99339,0,189,5,36857758
Kazakhstan,6751,311,35,3572,3144,31,0,553062,0,360,2,18749587
Finland,6399,19,301,5000,1098,25,1,152300,0,1155,54,5539729
