#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,5298207,107716,339425,5252,"2,156,382","2,802,400",44583,680,43.5,,,
,Europe,1868166,19844,168419,1614,"849,073","850,674",10477,,,,,
,North America,1824549,29354,111630,1835,"505,055","1,207,864",18247,,,,,
1,USA,1645094,24197,97647,1293,"403,201","1,144,246",17109,4973,295,13909905,42050,330795837
,Asia,912036,24779,26674,430,"531,963","353,399",4850,,,,,
,South America,578187,29563,29361,1283,"218,724","330,102",10701,,,,,
2,Brazil,330890,19969,21048,966,"135,430","174,412",8318,1558,99,735224,3462,212397420
3,Russia,326448,8894,3249,150,"99,825","223,374",2300,2237,22,8126626,55689,145927974
4,Spain,281904,1787,28628,688,"196,958","56,318",1152,6030,612,3037840,64977,46752901
5,UK,254195,3287,36393,351,N/A,N/A,1559,3747,536,3231921,47635,67848130
6,Italy,228658,652,32616,130,"136,720","59,322",595,3781,539,3318778,54882,60470956
7,France,182219,393,28289,74,"64,209","89,721",1701,2792,433,1384633,21218,65258400
8,Germany,179713,692,8352,43,"159,000","12,361",965,2146,100,3595059,42923,83755775
9,Turkey,154500,952,4276,27,"116,111","34,113",800,1834,51,1767495,20982,84239988
10,Iran,131652,2311,7300,51,"102,276","22,076",2659,1570,87,763913,9108,83874391
11,India,124794,6568,3726,142,"51,824","69,244",,91,3,2719434,1973,1378529934
12,Peru,111698,2929,3244,96,"44,848","63,606",886,3393,99,750526,22798,32920920
,Africa,105845,4161,3204,89,"42,881","59,760",296,,,,,
13,China,82971,4,4634,,"78,255",82,8,58,3,,,1439323776
14,Canada,82480,1156,6250,98,"42,594","33,636",502,2187,166,1405208,37267,37706381
15,Saudi Arabia,67719,2642,364,13,"39,003","28,352",302,1949,10,667057,19194,34753259
16,Chile,61857,4276,630,41,"25,342","35,885",986,3239,33,442093,23148,19098478
17,Mexico,59567,2973,6510,420,"40,657","12,400",378,463,51,201838,1567,128785048
18,Belgium,56511,276,9212,26,"15,123","32,176",268,4878,795,757328,65375,11584289
19,Pakistan,50694,2603,1067,50,"15,201","34,426",111,230,5,445987,2024,220403741
20,Netherlands,44888,188,5788,13,N/A,N/A,252,2620,338,313755,18315,17130906
21,Qatar,40481,1830,19,2,"7,893","32,569",175,14078,7,180642,62819,2875579
22,Ecuador,35828,522,3056,117,"3,557","29,215",191,2034,174,104330,5923,17613161
23,Belarus,34303,932,190,5,"12,833","21,280",92,3630,20,419004,44341,9449644
24,Sweden,32809,637,3925,54,"4,971","23,913",265,3251,389,209900,20798,10092543
25,Switzerland,30707,13,1903,5,"27,900",904,51,3551,220,364321,42129,8647829
26,Singapore,30426,614,23,,"12,995","17,408",8,5205,4,294414,50367,5845390
27,Bangladesh,30205,1694,432,24,"6,190","23,583",1,184,3,223841,1361,164510959
