,index,#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
0,0,,World,4888124,88858.0,319965.0,3445.0,"1,905,261","2,662,898",44764.0,627.0,41.0,,,
1,1,,Europe,1797528,16760.0,163619.0,780.0,"781,602","852,307",11376.0,,,,,
2,2,,North America,1711000,26742.0,104136.0,1217.0,"445,705","1,161,159",18026.0,,,,,
3,4,,Asia,818935,20627.0,25111.0,377.0,"471,876","321,948",4583.0,,,,,
4,5,,South America,461197,21015.0,24115.0,998.0,"162,622","274,460",10478.0,,,,,
5,17,,Africa,90080,3699.0,2849.0,72.0,"34,879","52,352",285.0,,,,,
6,53,,Oceania,8663,15.0,120.0,1.0,"7,926",617,12.0,,,,,
7,122,,,721,,15.0,,651,55,4.0,,,,,
8,223,,Total:,818935,20627.0,25111.0,377.0,"471,876","321,948",4583.0,,,,,
9,224,,Total:,1711000,26742.0,104136.0,1217.0,"445,705","1,161,159",18026.0,,,,,
10,225,,Total:,1797528,16760.0,163619.0,780.0,"781,602","852,307",11376.0,,,,,
11,226,,Total:,461197,21015.0,24115.0,998.0,"162,622","274,460",10478.0,,,,,
12,227,,Total:,90080,3699.0,2849.0,72.0,"34,879","52,352",285.0,,,,,
13,228,,Total:,8663,15.0,120.0,1.0,"7,926",617,12.0,,,,,
14,229,,Total:,721,,15.0,,651,55,4.0,,,,,
15,230,,Total:,4888124,88858.0,319965.0,3445.0,"1,905,261","2,662,898",44764.0,627.0,41.0,,,
